Scenario,Flow,Iteration,SubIteration,Country,PhoneNumber
SMS,Hooper,1,1,Angola,912131122
SMS,Hooper,1,2,Angola,912515749
SMS,Hooper,1,3,Angola,912595971
SMS,Hooper,1,4,Angola,912668312
SMS,Hooper,1,5,Angola,912961962
SMS,Hooper,1,6,Angola,912991431
SMS,Hooper,1,7,Angola,914924367
SMS,Hooper,1,8,Angola,915156510
SMS,Hooper,1,9,Angola,916704027
SMS,Hooper,1,10,Angola,918274271
SMS,Hooper,1,11,Angola,919410348
SMS,Hooper,1,12,Angola,991590575
SMS,Hooper,1,13,Angola,992212023
SMS,Hooper,1,14,Angola,993329824
SMS,Hooper,1,15,Angola,994367769
SMS,Hooper,1,16,Angola,995562827
SMS,Hooper,1,17,Angola,995848714
SMS,Hooper,1,18,Angola,996603245
SMS,Hooper,1,19,Angola,997434171
SMS,Hooper,1,20,Angola,997547543
SMS,Hooper,1,21,Angola,997547545
SMS,Hooper,1,22,Angola,997547546
SMS,Hooper,1,23,Angola,997547547
SMS,Hooper,1,24,Comoros,4938070
SMS,Hooper,1,25,Comoros,4850059
SMS,Hooper,1,26,Comoros,4737800
SMS,Hooper,1,27,Comoros,4271120
SMS,Hooper,1,28,Comoros,4438161
SMS,Hooper,1,29,Comoros,4686344
SMS,Hooper,1,30,Comoros,4495334
SMS,Hooper,1,31,Comoros,4583776
SMS,Hooper,1,32,Comoros,4070112
SMS,Hooper,1,33,Comoros,4459124
SMS,Hooper,1,34,Comoros,4298145
SMS,Hooper,1,35,Comoros,4724277
SMS,Hooper,1,36,Comoros,4802833
SMS,Hooper,1,37,Comoros,4387983
SMS,Hooper,1,38,Comoros,4336488
SMS,Hooper,1,39,Comoros,4416796
SMS,Hooper,1,40,Comoros,4746216
SMS,Hooper,1,41,Comoros,4878618
SMS,Hooper,1,42,Comoros,4679749
SMS,Hooper,1,43,Sri Lanka,776905609
SMS,Hooper,1,44,Sri Lanka,760066520
SMS,Hooper,1,45,Sri Lanka,776161190
SMS,Hooper,1,46,Sri Lanka,774522885
SMS,Hooper,1,47,Sri Lanka,777895000
SMS,Hooper,1,48,Sri Lanka,773998609
SMS,Hooper,1,49,Sri Lanka,761535747
SMS,Hooper,1,50,Sri Lanka,770092964
SMS,Hooper,1,51,Sri Lanka,772962651
SMS,Hooper,1,52,Sri Lanka,770403808
SMS,Hooper,1,53,Sri Lanka,774885355
SMS,Hooper,1,54,Sri Lanka,769648114
SMS,Hooper,1,55,Sri Lanka,778288680
SMS,Hooper,1,56,Sri Lanka,765645382
SMS,Hooper,1,57,Sri Lanka,763292340
SMS,Hooper,1,58,Sri Lanka,772759029
SMS,Hooper,1,59,Sri Lanka,777746024
SMS,Hooper,1,60,Sri Lanka,771925641
SMS,Hooper,1,61,Sri Lanka,773586924
SMS,Hooper,1,62,Burundi,768644927
SMS,Hooper,1,63,Burundi,777142880
SMS,Hooper,1,64,Burundi,777152055
SMS,Hooper,1,65,Burundi,768090255
SMS,Hooper,1,66,Burundi,777441914
SMS,Hooper,1,67,Burundi,769214323
SMS,Hooper,1,68,Burundi,777121796
SMS,Hooper,1,69,Burundi,777124321
SMS,Hooper,1,70,Burundi,777101613
SMS,Hooper,1,71,Burundi,777116120
SMS,Hooper,1,72,Burundi,761334621
SMS,Hooper,1,73,Burundi,777112480
SMS,Hooper,1,74,Burundi,777809769
SMS,Hooper,1,75,Burundi,777152667
SMS,Hooper,1,76,Burundi,777140653
SMS,Hooper,1,77,Burundi,777111276
SMS,Hooper,1,78,Burundi,777122196
SMS,Hooper,1,79,Burundi,777152903
SMS,Hooper,1,80,Burundi,777863804
SMS,Hooper,1,81,Burundi,777432773
SMS,Hooper,1,82,Burundi,777554297
SMS,Hooper,1,83,Burundi,777998035
SMS,Hooper,1,84,Burundi,777974808
SMS,Hooper,1,85,Burundi,762352424
SMS,Hooper,1,86,Burundi,777646660
SMS,Hooper,1,87,Burundi,777121349
SMS,Hooper,1,88,Burundi,761361576
SMS,Hooper,1,89,Burundi,768039271
