Scenario,Flow,Iteration,SubIteration,PhoneNumber,Country
SMS,Tinder,1,1,998955921,Angola
SMS,Tinder,1,2,918473061,Angola
SMS,Tinder,1,3,918473061,Angola
SMS,Tinder,1,4,991401777,Angola
SMS,Tinder,1,5,910072879,Angola
SMS,Tinder,1,6,990857537,Angola
SMS,Tinder,1,7,913368155,Angola
SMS,Tinder,1,8,916241788,Angola
SMS,Tinder,1,9,918207821,Angola
SMS,Tinder,1,10,912364130,Angola
SMS,Tinder,1,11,914254758,Angola
SMS,Tinder,1,12,919192046,Angola
SMS,Tinder,1,13,999184784,Angola
SMS,Tinder,1,14,914085695,Angola
SMS,Tinder,1,15,994827941,Angola
SMS,Tinder,1,16,918473061,Angola
SMS,Tinder,1,17,991401777,Angola
SMS,Tinder,1,18,910072879,Angola
SMS,Tinder,1,19,990857537,Angola
SMS,Tinder,1,20,913368155,Angola
SMS,Tinder,1,21,916241788,Angola
SMS,Tinder,1,22,918207821,Angola
SMS,Tinder,1,23,912364130,Angola
SMS,Tinder,1,24,914254758,Angola
SMS,Tinder,1,25,919192046,Angola
SMS,Tinder,1,26,999184784,Angola
SMS,Tinder,1,27,914085695,Angola
SMS,Tinder,1,28,994827941,Angola
SMS,Tinder,1,29,993873470,Angola
SMS,Tinder,1,30,997984240,Angola
SMS,Tinder,1,31,919321093,Angola
SMS,Tinder,1,32,998294220,Angola
SMS,Tinder,1,33,917707108,Angola
SMS,Tinder,1,34,994754087,Angola
SMS,Tinder,1,35,991119869,Angola
SMS,Tinder,1,36,919523071,Angola
SMS,Tinder,1,37,914259340,Angola
SMS,Tinder,1,38,995356147,Angola
SMS,Tinder,1,39,995300230,Angola
SMS,Tinder,1,40,917522736,Angola
SMS,Tinder,1,41,995212423,Angola
SMS,Tinder,1,42,990411678,Angola
SMS,Tinder,1,43,913115092,Angola
SMS,Tinder,1,44,990404554,Angola
SMS,Tinder,1,45,992082839,Angola
SMS,Tinder,1,46,999184316,Angola
SMS,Tinder,1,47,993837269,Angola
SMS,Tinder,1,48,991038083,Angola
SMS,Tinder,1,49,996770089,Angola
SMS,Tinder,1,50,999884653,Angola
SMS,Tinder,1,51,918554530,Angola
SMS,Tinder,1,52,993892822,Angola
SMS,Tinder,1,53,992082052,Angola
SMS,Tinder,1,54,990582377,Angola
SMS,Tinder,1,55,994876990,Angola
SMS,Tinder,1,56,913956618,Angola
SMS,Tinder,1,57,910846,Angola
SMS,Tinder,1,58,919530168,Angola
SMS,Tinder,1,59,916579326,Angola
SMS,Tinder,1,60,913538024,Angola
SMS,Tinder,1,61,915852240,Angola
SMS,Tinder,1,62,918770118,Angola
SMS,Tinder,1,63,914562460,Angola
SMS,Tinder,1,64,998210730,Angola
SMS,Tinder,1,65,998022531,Angola
SMS,Tinder,1,66,910551859,Angola
SMS,Tinder,1,67,914867002,Angola
SMS,Tinder,1,68,912470045,Angola
SMS,Tinder,1,69,997104981,Angola
SMS,Tinder,1,70,916367243,Angola
SMS,Tinder,1,71,910613897,Angola
SMS,Tinder,1,72,994182222,Angola
SMS,Tinder,1,73,917905554,Angola
SMS,Tinder,1,74,912470122,Angola
SMS,Tinder,1,75,911860424,Angola
SMS,Tinder,1,76,910280234,Angola
SMS,Tinder,1,77,910035578,Angola
SMS,Tinder,1,78,916029164,Angola
SMS,Tinder,1,79,919952160,Angola
SMS,Tinder,1,80,911039544,Angola
SMS,Tinder,1,81,918612054,Angola
SMS,Tinder,1,82,918445543,Angola
SMS,Tinder,1,83,995878300,Angola
SMS,Tinder,1,84,999590800,Angola
SMS,Tinder,1,85,990746689,Angola
SMS,Tinder,1,86,914005446,Angola
SMS,Tinder,1,87,911885578,Angola
SMS,Tinder,1,88,990578686,Angola
SMS,Tinder,1,89,997904791,Angola
SMS,Tinder,1,90,910030490,Angola
SMS,Tinder,1,91,916679283,Angola
SMS,Tinder,1,92,915337435,Angola
SMS,Tinder,1,93,919528681,Angola
SMS,Tinder,1,94,919226046,Angola
SMS,Tinder,1,95,910551581,Angola
SMS,Tinder,1,96,996851057,Angola
SMS,Tinder,1,97,999895810,Angola
SMS,Tinder,1,98,919872105,Angola
SMS,Tinder,1,99,913114122,Angola
SMS,Tinder,1,100,919543971,Angola
SMS,Tinder,1,101,995589481,Angola
SMS,Tinder,1,102,998832348,Angola
SMS,Tinder,1,103,912439303,Angola
SMS,Tinder,1,104,910438579,Angola
SMS,Tinder,1,105,910038091,Angola
SMS,Tinder,1,106,916956181,Angola
SMS,Tinder,1,107,999391161,Angola
SMS,Tinder,1,108,913727322,Angola
SMS,Tinder,1,109,915050768,Angola
SMS,Tinder,1,110,990437105,Angola
SMS,Tinder,1,111,914522700,Angola
SMS,Tinder,1,112,911860949,Angola
SMS,Tinder,1,113,991119230,Angola
SMS,Tinder,1,114,913466668,Angola
SMS,Tinder,1,115,919221111,Angola
SMS,Tinder,1,116,999431125,Angola
SMS,Tinder,1,117,910034764,Angola
SMS,Tinder,1,118,912734905,Angola
SMS,Tinder,1,119,992935565,Angola
SMS,Tinder,1,120,919426843,Angola
SMS,Tinder,1,121,997625617,Angola
SMS,Tinder,1,122,912891939,Angola
SMS,Tinder,1,123,994888402,Angola
SMS,Tinder,1,124,991088070,Angola
